Command,Total,% of Command,Bureau,Year,Viper
001,4,2.7,PBMS,2025,False
005,1,0.9,PBMS,2025,False
006,4,3.1,PBMS,2025,False
007,0,0.0,PBMS,2025,False
009,1,0.7,PBMS,2025,False
010,2,1.8,PBMS,2025,False
013,2,1.4,PBMS,2025,False
014,4,1.8,PBMS,2025,False
017,2,1.7,PBMS,2025,False
018,2,1.0,PBMS,2025,False
Central Park,0,0.0,PBMS,2025,False
019,5,3.1,PBMN,2025,False
020,1,0.9,PBMN,2025,False
023,5,2.7,PBMN,2025,False
024,4,3.5,PBMN,2025,False
025,2,1.3,PBMN,2025,False
026,2,1.9,PBMN,2025,False
028,10,5.6,PBMN,2025,False
030,5,4.0,PBMN,2025,False
032,2,1.1,PBMN,2025,False
033,7,5.8,PBMN,2025,False
034,8,4.3,PBMN,2025,False
040,22,7.7,PBBX,2025,False
041,7,4.4,PBBX,2025,False
042,8,3.1,PBBX,2025,False
043,13,4.5,PBBX,2025,False
044,9,2.8,PBBX,2025,False
045,3,2.0,PBBX,2025,False
046,15,5.7,PBBX,2025,False
047,12,4.0,PBBX,2025,False
048,17,6.4,PBBX,2025,False
049,10,5.6,PBBX,2025,False
050,1,0.7,PBBX,2025,False
052,8,3.3,PBBX,2025,False
060,15,9.0,PBBS,2025,False
061,4,2.8,PBBS,2025,False
062,1,0.7,PBBS,2025,False
063,4,3.3,PBBS,2025,False
066,1,0.8,PBBS,2025,False
067,20,7.1,PBBS,2025,False
068,1,0.7,PBBS,2025,False
069,10,7.1,PBBS,2025,False
070,8,4.4,PBBS,2025,False
071,10,7.5,PBBS,2025,False
072,3,1.8,PBBS,2025,False
076,3,2.5,PBBS,2025,False
078,2,1.6,PBBS,2025,False
073,17,6.1,PBBN,2025,False
075,19,5.5,PBBN,2025,False
077,3,1.6,PBBN,2025,False
079,11,5.1,PBBN,2025,False
081,8,4.8,PBBN,2025,False
083,10,5.4,PBBN,2025,False
084,5,2.9,PBBN,2025,False
088,2,1.3,PBBN,2025,False
090,6,3.8,PBBN,2025,False
094,3,2.7,PBBN,2025,False
100,1,1.0,PBQS,2025,False
101,9,4.6,PBQS,2025,False
102,2,1.2,PBQS,2025,False
103,11,4.5,PBQS,2025,False
105,5,2.7,PBQS,2025,False
106,4,3.2,PBQS,2025,False
107,1,0.7,PBQS,2025,False
113,14,8.2,PBQS,2025,False
116,2,1.4,PBQS,2025,False
104,1,0.7,PBQN,2025,False
108,4,2.8,PBQN,2025,False
109,2,0.8,PBQN,2025,False
110,6,2.9,PBQN,2025,False
111,1,0.7,PBQN,2025,False
112,3,2.4,PBQN,2025,False
114,8,3.6,PBQN,2025,False
115,3,1.3,PBQN,2025,False
120,4,1.7,PBSI,2025,True
121,2,1.3,PBSI,2025,False
122,0,0.0,PBSI,2025,False
123,2,1.8,PBSI,2025,False
PSA 1,4,2.1,Housing,2025,True
PSA 2,4,1.7,Housing,2025,True
PSA 3,8,3.9,Housing,2025,False
PSA 4,2,1.5,Housing,2025,True
PSA 5,10,5.0,Housing,2025,True
PSA 6,4,3.3,Housing,2025,True
PSA 7,17,7.9,Housing,2025,True
PSA 8,10,5.3,Housing,2025,True
PSA 9,2,1.1,Housing,2025,True
TD 1,0,0.0,Transit,2025,False
TD 2,1,0.6,Transit,2025,False
TD 3,1,0.7,Transit,2025,False
TD 4,6,3.3,Transit,2025,False
TD 11,1,0.7,Transit,2025,False
TD 12,1,0.6,Transit,2025,False
TD 20,0,0.0,Transit,2025,False
TD 23,0,0.0,Transit,2025,False
TD 30,1,0.8,Transit,2025,False
TD 32,5,4.0,Transit,2025,False
TD 33,5,3.4,Transit,2025,False
TD 34,2,1.4,Transit,2025,False
